RANK,MARK,WIND,COMPETITOR,DOB,NAT,POS,VENUE,DATE
38,13.43,1.9,Isaac WILLIAMS,30-Nov-93,USA USA,3r1,"Norwalk, CA",16-Apr-16
38,13.43,0.1,Aleec HARRIS,31-Oct-90,USA USA,2,Baie Mahault,14-May-16
38,13.43,1.8,Maximilian BAYER,5-Dec-90,GER GER,2,Mannheim (Hoffmann),29-Jul-16
41,13.44,1.4,Spencer ADAMS,10-Sep-89,USA USA,7,Doha (Hamad Bin Suhaim),6-May-16
41,13.44,1,Devon HILL,26-Oct-89,USA USA,1,"Coral Gables, FL",4-Jun-16
41,13.44,0.3,Matthias BÜHLER,2-Sep-86,GER GER,1,Kassel (Auestadion),18-Jun-16
44,13.45,1.9,Benjamin SÉDÉCIAS,18-Jan-95,FRA FRA,1,La Roche-sur-Yon,13-Jul-16
44,13.45,1,Yidiel CONTRERAS,27-Nov-92,ESP ESP,2,Gijón,24-Jul-16
46,13.46,0.2,Tyler MASON,15-Nov-95,JAM JAM,5,"Kingston (NS), JAM",11-Jun-16
47,13.47,2,Jeffrey JULMIS,6-Jan-87,HAI HAI,2r1,"Clermont (NTC), FL",14-May-16
47,13.47,1.4,Wataru YAZAWA,2-Jul-91,JPN JPN,1r2,Tottori,5-Jun-16
49,13.48,1.9,Ashton EATON,21-Jan-88,USA USA,4r1,"Norwalk, CA",16-Apr-16
49,13.48,0.8,Freddie CRITTENDEN,2-Aug-96,USA USA,1,"Auburn, AL",23-Apr-16
49,13.48,0.5,Ryan FONTENOT,4-May-86,USA USA,1r2,"Houston, TX",6-May-16
49,13.48,2,Logan TAYLOR,3-Apr-86,USA USA,3r1,"Clermont (NTC), FL",14-May-16
49,13.48,0.3,Aaron MALLETT,26-Sep-94,USA USA,1,"Lincoln, NE",15-May-16
49,13.48,0,Gregory SEDOC,16-Oct-81,NED NED,3r1,Weinheim,28-May-16
55,13.49,1.8,Ronald BROOKINS,5-Jul-89,USA USA,1r1,"Irvine, CA",30-Apr-16
56,13.5,0.3,Ronald LEVY,30-Dec-92,JAM JAM,1,"Kingston (NS), JAM",12-Jun-16
56,13.5,0.1,Gabriel CONSTANTINO,9-Feb-95,BRA BRA,1,São Bernardo do Campo (Arena Caixa),3-Jul-16
58,13.51,1.6,Abdulaziz AL MANDEEL,22-May-89,KUW KUW,1,Al-Kuwait,14-May-16
58,13.51,1,Jhoanis PORTILLA,24-Jul-90,CUB CUB,1,La Habana (Estadio Panamericano),26-May-16
58,13.51,0,Yordan L. O'FARRILL,9-Feb-93,CUB CUB,1h1,La Habana (Estadio Panamericano),26-May-16
58,13.51,1.1,Shane BRATHWAITE,8-Feb-90,BAR BAR,3,Praha (Stadion Juliska),6-Jun-16
62,13.52,0,William SHARMAN,12-Sep-84,GBR GBR,2h2,Bellinzona,6-Jun-16
62,13.52,0,Javier MCFARLANE,21-Oct-91,PER PER,1,Cali (Pedro Grajales),26-Jun-16
62,13.52,-0.5,Hassane FOFANA,28-Apr-92,ITA ITA,5sf3,Amsterdam (Olympisch Stadion),9-Jul-16
65,13.53,1.2,Jordan MOORE,13-Dec-93,USA USA,1,"Tuscaloosa, AL",14-May-16
65,13.53,1,Roger IRIBARNE,2-Jan-96,CUB CUB,2,La Habana (Estadio Panamericano),26-May-16
65,13.53,-0.6,Simon KRAUSS,12-Feb-92,FRA FRA,1,Forbach,29-May-16
65,13.53,0.3,Jorge MCFARLANE,20-Feb-88,PER PER,2,Medellín,10-Jul-16
69,13.54,1.2,Dondre ECHOLS,6-Jul-93,USA USA,2,"Tuscaloosa, AL",14-May-16
69,13.54,2,Ryan WILSON,19-Dec-80,USA USA,4r1,"Clermont (NTC), FL",14-May-16
69,13.54,0.3,Hideki OMURO,25-Jul-90,JPN JPN,1,Osaka (Nagai Stadium),22-May-16
69,13.54,1.5,David KING,13-Jun-94,GBR GBR,2r1,Loughborough,22-May-16
69,13.54,-1.8,Emanuele ABATE,8-Jul-85,ITA ITA,4sf2,Amsterdam (Olympisch Stadion),9-Jul-16
69,13.54,-1.8,Vladimir VUKICEVIC,6-May-91,NOR NOR,5sf2,Amsterdam (Olympisch Stadion),9-Jul-16
75,13.55,1.6,Yaqoub Mohamed AL-YOUHA,31-Jan-93,KUW KUW,2,Al-Kuwait,14-May-16
75,13.55,1.4,Tyron AKINS,6-Jan-86,NGR NGR,1,Nassau (T. Robinson Stadium),10-Jul-16
77,13.56,0.7,Eduardo DE DEUS,8-Oct-95,BRA BRA,2,Rio de Janeiro (Estádio Olímpico),16-May-16
77,13.56,0,Erik BALNUWEIT,21-Sep-88,GER GER,4r1,Weinheim,28-May-16
77,13.56,0.9,Nicholas HOUGH,20-Oct-93,AUS AUS,2r1,Barcelona (Serrahima),30-Jun-16
80,13.58,1.9,Yanick HART,1-Oct-93,JAM JAM,2r1,"Jacksonville (Hodges Stadium), FL",28-May-16
80,13.58,1.4,Javier COLOMO,26-Mar-94,ESP ESP,1,Castellón (Gaetà Huguet),11-Jun-16
82,13.59,1.5,Chris CALDWELL,5-Apr-94,USA USA,1r1,"Lubbock, TX",6-May-16
82,13.59,-0.6,Honglin ZHANG,12-Jan-94,CHN CHN,2,Kawasaki (Todoroki Stadium),8-May-16
82,13.59,1.5,Siddhanth THINGALAYA,1-Mar-91,IND IND,1r2,"Clermont (NTC), FL",14-May-16
82,13.59,1.8,Amere LATTIN,12-Jul-97,USA USA,1,"Orlando, FL",15-May-16
82,13.59,1.4,Genta MASUNO,24-May-93,JPN JPN,2r2,Tottori,5-Jun-16
82,13.59,1.4,Petr SVOBODA,10-Oct-84,CZE CZE,1,Tábor,27-Jul-16
88,13.6,1.2,Nick ANDERSON,28-Apr-95,USA USA,2r2,"Gainesville, FL",1-Apr-16
88,13.6,1.5,Ruebin WALTERS,2-Apr-95,TTO TTO,1r3,"Tempe (Sun Angel Stadium), AZ",9-Apr-16
88,13.6,1.9,Joshua THOMPSON,16-Jan-93,USA USA,1r2,"Baton Rouge, LA",23-Apr-16
88,13.6,0.2,Yang LU,9-Jan-96,CHN CHN,1,Taiyuan,22-May-16
88,13.6,1.9,Vincent WYATT,18-Oct-92,USA USA,3r1,"Jacksonville (Hodges Stadium), FL",28-May-16
88,13.6,1.7,Khai RILEY-LABORDE,8-Nov-95,GBR GBR,1,Castres,20-Jul-16
94,13.61,0.2,Fan JIANG,16-Sep-89,CHN CHN,2,Taiyuan,22-May-16
94,13.61,1.1,Lloyd SICARD,31-May-95,USA USA,1r1,"Lawrence (Rock Chalk Park), KS",28-May-16
94,13.61,0.7,Thomas MARTINOT-LAGARDE,7-Feb-88,FRA FRA,2h2,Angers,26-Jun-16
97,13.62,0.8,Jamiel TRIMBLE,,USA USA,2r6,"Lawrence (Rock Chalk Park), KS",28-May-16
97,13.62,0.1,Éder Antonio SOUZA,15-Oct-86,BRA BRA,2,São Bernardo do Campo (Arena Caixa),3-Jul-16
99,13.63,1.2,Ruan DE VRIES,1-Feb-86,RSA RSA,1,Johannesburg (UJ),13-Feb-16
99,13.63,1.5,Omo OSAGHAE,18-May-88,USA USA,2r1,"Lubbock, TX",6-May-16
99,13.63,1.4,Ryan BRATHWAITE,6-Jun-88,BAR BAR,2h1,"Montverde, FL",11-Jun-16
99,13.63,1.7,Byoungjun KIM,15-Aug-91,KOR KOR,3,Kimchun,3-Jul-16
103,13.64,1.5,Gabriel ODUJOBI,15-Jul-87,GBR GBR,2r2,"Clermont (NTC), FL",14-May-16
103,13.64,0.8,Sekou KABA,25-Aug-90,CAN CAN,2,Edmonton (Foote Field),10-Jul-16
105,13.65,1.1,Marcus MAXEY,9-Oct-90,USA USA,3,"Austin (Myers Stadium), TX",2-Apr-16
105,13.65,-0.1,Tshepo LEFETE,2-Feb-92,RSA RSA,2,Stellenbosch (Coetzenburg Stadium),16-Apr-16
105,13.65,1.9,Desmond WALLACE,4-Jul-93,USA USA,4r1,"Jacksonville (Hodges Stadium), FL",28-May-16
105,13.65,0.3,Andreas MARTINSEN,17-Jul-90,DEN DEN,3h1,Amsterdam (Olympisch Stadion),8-Jul-16
109,13.66,1,Nate POZOLINSKI,8-Aug-95,USA USA,1,"Louisville, KY",23-Apr-16
109,13.66,1,David PAYNE,24-Jul-82,USA USA,2,"Louisville, KY",23-Apr-16
111,13.67,0.9,Michael DICKSON,25-Jan-97,USA USA,1,"Atlanta (Georgia Tech), GA",23-Apr-16
111,13.67,1.1,Fabio DOS SANTOS,10-Aug-83,BRA BRA,2h1,São Bernardo do Campo,4-Jun-16
111,13.67,,Lorenzo PERINI,22-Jul-94,ITA ITA,1,Bressanone (Raiffeisen Arena),11-Jun-16
111,13.67,-1,Cameron HALL,12-Mar-93,USA USA,2,Halifax,22-Jun-16
111,13.67,0.4,Rohan COLE,28-Oct-97,JAM JAM,5,"Kingston (NS), JAM",2-Jul-16
116,13.68,0.3,Isaiah MOORE,12-Jun-96,USA USA,2h1,"Jacksonville (Hodges Stadium), FL",27-May-16
116,13.68,-0.6,Teivaskie LEWIN,27-Dec-91,JAM JAM,1r3,"Lawrence (Rock Chalk Park), KS",28-May-16
118,13.69,0.3,Antoine LLOYD,10-Jun-96,USA USA,2,"Lincoln, NE",15-May-16
118,13.69,-0.3,Mohamed KOUSSI,15-Mar-94,MAR MAR,1r1,Villeneuve-d'Ascq,22-May-16
118,13.69,1.7,Ludovic PAYEN,18-Feb-95,FRA FRA,2,Castres,20-Jul-16
121,13.7,0.7,Salvador GARCÍA,8-Mar-96,MEX MEX,1,Ciudad de México (CDO),19-Mar-16
121,13.7,1.9,Francisco Javier LÓPEZ,29-Dec-89,ESP ESP,2r2,"Baton Rouge, LA",23-Apr-16
121,13.7,2,Alex AL-AMEEN,2-Mar-89,NGR NGR,6r1,"Clermont (NTC), FL",14-May-16
121,13.7,1.6,Dario DE BORGER,20-Mar-92,BEL BEL,1h1,Oordegem-Lede,21-May-16
125,13.71,-0.8,Tony BROWN,13-Jul-95,USA USA,3h2,"Eugene (Hayward Field), OR",8-Jun-16
125,13.71,-0.1,Koen SMET,9-Aug-92,NED NED,1,Amsterdam (Olympisch Stadion),18-Jun-16
125,13.71,1.9,Valdó SZÜCS,29-Jun-95,HUN HUN,1h#,Szombathely,26-Jun-16
125,13.71,1.8,Julian MARQUART,2-Apr-91,GER GER,3,Mannheim (Hoffmann),29-Jul-16
125,13.71,1.8,Arnau ERTA,5-Apr-92,ESP ESP,3,Mannheim (Hoffmann),29-Jul-16
130,13.72,-0.3,Kevin CRADDOCK,25-Jun-87,USA USA,1r1,"Sacramento, CA",19-Mar-16
130,13.72,0.5,Masahiro KAGIMOTO,29-Sep-95,JPN JPN,1,Osaka,13-May-16
130,13.72,1.7,Nicolas BOROME,7-Oct-93,FRA FRA,1,Hérouville-St-Clair,16-Jun-16
130,13.72,0.3,Elmo LAKKA,10-Apr-93,FIN FIN,5h1,Amsterdam (Olympisch Stadion),8-Jul-16
134,13.73,1.8,Bentrell MCGEE,15-Jul-93,USA USA,1r1,"Tuscaloosa, AL",19-Mar-16
134,13.73,0.9,Denis HANJOUL,17-Jan-91,BEL BEL,2,Oordegem-Lede,21-May-16
134,13.73,1,Ashtyn DAVIS,10-Oct-96,USA USA,4h3,"Eugene (Hayward Field), OR",8-Jun-16
134,13.73,0.4,Takumu FURUYA,12-Mar-97,JPN JPN,2h1,Nagoya (Mizuho),25-Jun-16
138,13.74,0.8,Don POLLITT,1-Oct-91,USA USA,2,"Auburn, AL",23-Apr-16
138,13.74,0.3,Cam VINEY,6-Sep-93,USA USA,3,"Lincoln, NE",15-May-16
138,13.74,0.3,Serhiy KOPANAYKO,5-Nov-88,UKR UKR,6h1,Amsterdam (Olympisch Stadion),8-Jul-16
138,13.74,-1,Lyés MOKDDEL,20-Jun-90,ALG ALG,1,Alger (SATO),15-Jul-16
142,13.75,0.3,Shunya TAKAYAMA,3-Sep-94,JPN JPN,1,Yokohama,20-May-16
142,13.75,1,Wellington ZAZA,20-Jan-95,LBR LBR,5h3,"Eugene (Hayward Field), OR",8-Jun-16
142,13.75,0.2,Hiroyuki SATO,6-Aug-90,JPN JPN,2h5,Nagoya (Mizuho),25-Jun-16
145,13.76,-0.8,Wei-Ting YANG,22-Sep-94,TPE TPE,1,Taitung,2-May-16
145,13.76,-0.3,Myles HUNTER,16-Aug-95,USA USA,1,"Bradenton (IMG Academy), FL",28-May-16
145,13.76,0,Tobias FURER,13-Aug-87,SUI SUI,2r2,Weinheim,28-May-16
148,13.77,0.7,Pedro Antonio BUSTAMANTE,5-Mar-90,MEX MEX,2,Ciudad de México (CDO),19-Mar-16
148,13.77,2,Ingvar MOSELEY,31-Jan-91,CAN CAN,1h1,"Windsor (St Denis Center), CAN",21-May-16
148,13.77,-0.2,Taioh KANAI,28-Sep-95,JPN JPN,2h4,Nagoya (Mizuho),25-Jun-16
148,13.77,0.9,Dominik BOCHENEK,14-May-87,POL POL,2,Bydgoszcz (Zdzislaw Krzyszkowiak),26-Jun-16
148,13.77,0.1,Jonathas BRITO,30-Nov-92,BRA BRA,3,São Bernardo do Campo (Arena Caixa),3-Jul-16
153,13.78,0.2,Terrence SOMERVILLE,5-Nov-89,USA USA,1r2,"Cincinnati, OH",2-Apr-16
153,13.78,-0.1,Tiaan SMIT,14-Mar-95,RSA RSA,4,Stellenbosch (Coetzenburg Stadium),16-Apr-16
153,13.78,1.7,Loic DESBONNES,26-Jul-91,FRA FRA,4h1,Angers,26-Jun-16
156,13.79,-0.1,Ricardo TORRES,13-Feb-96,PUR PUR,4,Medellín,30-Apr-16
156,13.79,-0.4,Yuta NOTOYA,8-Jul-89,JPN JPN,2r2,Osaka (Nagai Stadium),8-May-16
156,13.79,1.8,Maksim LYNSHA,6-Apr-85,BLR BLR,1,"Brest, BLR",20-May-16
156,13.79,0.2,René MÄHLMANN,1993,GER GER,2r4,Mannheim (Hoffmann),9-Jun-16
156,13.79,0.3,João Vitor DE OLIVEIRA,15-May-92,BRA BRA,2sf3,São Bernardo do Campo (Arena Caixa),2-Jul-16
161,13.8,1.1,Matheus ROCHA,19-Dec-94,BRA BRA,2,São Bernardo do Campo (Arena Caixa),8-Apr-16
161,13.8,1.9,Tramaine MALONEY,1-Jun-94,BAR BAR,4r2,"Baton Rouge, LA",23-Apr-16
161,13.8,-0.3,Trey HOLLOWAY,7-Jul-94,USA USA,4h1,"Eugene (Hayward Field), OR",8-Jun-16
161,13.8,1,Jermaine COLLIER,5-Jul-93,USA USA,6h3,"Eugene (Hayward Field), OR",8-Jun-16
161,13.8,1.5,Malcoln ANDERSON,18-Sep-89,USA USA,3r2,"Montverde, FL",11-Jun-16
161,13.8,-0.1,Damien BROOTHAERTS,13-Mar-83,BEL BEL,2,Liège (Naimette-Xhovémont),13-Jul-16
